Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,235994,3,78664.7,80520.0,74953,80521,3214.4,"void at::native::sbtopk::gatherTopK<float, unsigned int, (int)2, (bool)0>(at::cuda::detail::TensorInfo<const T1, T2>, T2, T2, bool, T2, T2, at::cuda::detail::TensorInfo<T1, T2>, T2, at::cuda::detail::TensorInfo<long long, T2>, T2, T1 *)"
0.0,234555,68,3449.3,1024.0,992,7713,3222.0,"wp::compute_average_mesh_edge_length(int, float *, wp::Mesh *)"
0.0,234554,8,29319.3,29459.5,19426,41028,9829.2,_small_cholesky_factorize_block__locals__kernel_097105ab_cuda_kernel_forward
0.0,229464,92,2494.2,2304.0,2080,19267,1771.6,_solve_done_c8485047_cuda_kernel_forward
0.0,228921,101,2266.5,928.0,832,13441,2742.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long long)1>>(int, T2, T3)"
0.0,228341,48,4757.1,3728.5,3264,31395,5021.2,_efc_contact_update__locals__kernel_1b4b8d05_cuda_kernel_forward
0.0,224793,68,3305.8,960.0,928,7457,3122.0,"void cuBQL::sahBuilder_impl::initState<float, (int)3>(cuBQL::gpuBuilder_impl::BuildState *, cuBQL::gpuBuilder_impl::NodeState *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *)"
0.0,223994,97,2309.2,1664.0,1472,30595,3528.8,_scatter_reset_owned_rows_kernel_66882d6f_cuda_kernel_forward
0.0,223636,140,1597.4,1312.0,1184,18242,1883.9,set_conditional_if_handle_kernel
0.0,222999,48,4645.8,3488.5,3392,37508,5634.9,_solve_init_jaref_kernel__locals__kernel_c55aacd8_cuda_kernel_forward
0.0,221272,48,4609.8,2960.5,2752,49350,8001.1,apply_mjc_qfrc_kernel_173e90ee_cuda_kernel_forward
0.0,217721,48,4535.9,3361.0,3328,34212,5335.0,convert_mj_coords_to_warp_kernel_55623290_cuda_kernel_forward
0.0,211990,140,1514.2,1440.0,1120,11681,1179.5,_update_gradient_zero_grad_dot__locals__kernel_c1c72bbd_cuda_kernel_forward
0.0,211959,68,3117.0,896.0,864,7009,2944.5,"void cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::DeviceScanInitKernel<cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::ScanTileState<float, (bool)1>>(T1, int)"
0.0,211347,50,4226.9,2768.5,2592,43909,7261.4,get_body_com_acc_from_body_com_vel_ordered_5ec3c72d_cuda_kernel_forward
0.0,210774,8,26346.8,27394.5,16386,43333,9856.3,_tile_cholesky_factorize_block__locals__kernel_7b151490_cuda_kernel_forward
0.0,198482,56,3544.3,1696.0,1600,19810,4391.4,_subtree_div_0ef57c26_cuda_kernel_forward
0.0,198320,96,2065.8,1473.0,1408,20994,2857.0,_add_mapped_body_forces_kernel_c1b1562d_cuda_kernel_forward
0.0,197170,96,2053.9,1376.0,1312,25187,3390.8,_copy_mapped_float_03c0f0b2_cuda_kernel_forward
0.0,191954,56,3427.8,1600.0,1376,26403,4772.5,_subtree_com_init_002b02fd_cuda_kernel_forward
0.0,190522,102,1867.9,1472.0,1312,14210,2041.8,write_2d_data_to_buffer_with_indices_47cc0614_cuda_kernel_forward
0.0,187703,48,3910.5,2945.0,2720,48165,6524.8,compute_shape_transforms_kernel_9f59b1a6_cuda_kernel_forward
0.0,184978,97,1907.0,1344.0,1312,20675,2607.1,reset_world_buffers_kernel_3098eca0_cuda_kernel_forward
0.0,183508,48,3823.1,3104.0,2913,37445,4957.5,build_body_body_contact_lists_447b4026_cuda_kernel_forward
0.0,182253,100,1822.5,1376.0,1248,12577,2122.9,"void at::native::cross_kernel<float, OffsetCalculator<(int)3, unsigned int, (bool)0>, int>(int, T1 *, const T1 *, const T1 *, T2, T3, T3, T3)"
0.0,181043,96,1885.9,1345.0,1312,21186,2686.9,_copy_mapped_spatial_vector_910e04e9_cuda_kernel_forward
0.0,179188,48,3733.1,2816.0,2752,27619,4434.8,_qderiv_actuator_passive_6cbfee2a_cuda_kernel_forward
0.0,177299,6,29549.8,29763.5,28579,29795,481.0,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)1>>(at::TensorIterator &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.0,176985,48,3687.2,2544.0,2336,34180,5650.1,apply_mjc_body_f_kernel_959969cf_cuda_kernel_forward
0.0,168563,48,3511.7,2736.5,2688,27427,3882.1,_gravity_force_7c63ac28_cuda_kernel_forward
0.0,158775,48,3307.8,2528.0,2465,24930,3799.4,_qderiv_actuator_passive_vel_cc1a6654_cuda_kernel_forward
0.0,155447,48,3238.5,2273.0,2208,25891,4487.0,_spring_damper_dof_passive_7b46d40c_cuda_kernel_forward
0.0,152492,48,3176.9,2240.0,2176,26626,4415.0,apply_mjc_control_kernel_af10f051_cuda_kernel_forward
0.0,149972,48,3124.4,2048.0,1920,29315,5275.6,subtract_proxy_body_forces_kernel_f7cb7450_cuda_kernel_forward
0.0,144847,102,1420.1,992.0,960,9601,1783.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,143921,48,2998.4,2416.5,2272,30116,3998.3,init_body_body_contact_materials_95ac6a13_cuda_kernel_forward
