NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,2,45893,22946.5,22946.5,22723,23170,316.1,_cdof_3e73eb78_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,44132,44132.0,44132.0,44132,44132,0.0,update_dof_properties_kernel_c60786a2_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,43845,43845.0,43845.0,43845,43845,0.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,4,42052,10513.0,10289.0,9793,11681,815.6,repeat_array_kernel_e7399df6_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,2,41764,20882.0,20882.0,2848,38916,25503.9,get_body_com_acc_from_body_com_vel_ordered_5ec3c72d_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,40837,40837.0,40837.0,40837,40837,0.0,update_solver_options_kernel_1d0ead13_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,27,39843,1475.7,1472.0,1440,1569,24.1,_write_2d_user_to_backend_with_indices_69eedb69_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,2,39684,19842.0,19842.0,19586,20098,362.0,_compute_body_matrices_27760750_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,37828,37828.0,37828.0,37828,37828,0.0,_set_body_inertial_properties_kernel_81b04ed7_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,2,37508,18754.0,18754.0,12481,25027,8871.4,"void cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::DeviceScanKernel<cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::scan::policy_hub<int, int, int, unsigned int, cuda::std::__4::plus<void>>::Policy1000, <unnamed>::cub_strided_iterator<const int>, <unnamed>::cub_strided_iterator<int>, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::ScanTileState<int, (bool)1>, cuda::std::__4::plus<void>, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::InputValue<int, int *>, unsigned int, int, (bool)0>(T2, T3, T4, int, T5, T6, T7)"
